시군구코드,접수년도,처리구분,접수번호,물건번호,상세물건번호,변경구분,공개반영일,읍면동코드,시군구명,읍면동리명,용도지역코드,용도지역명,건물구분,계약일,전용면적,대지권면적,층수,지분거래구분,거래금액,건축년도,건물주용도코드,건물주용도명,해제여부,해제사유,해제사유발생일,중개구분,중개업소주소,매도자거래주체정보,매수자거래주체정보,신고번호,물건번호
41590,2024,4,8587,1,1,,,4159036026,경기도 화성시,팔탄면 율암리,UQB100,계획관리,일반,20240315,449.16,992,,전체거래,103681,2015,04005,제2종근린생활,2,추가입력완료,,중개거래,경기 화성시,개인,개인,80040737,1
41670,2024,4,2680,1,1,C,20240614040325,4167010200,경기도여주시,홍문동,UQA122,제2종일반주거,집합,20240610,199.04,,,,32000,2004,04020,제2종근린생활,2,추가입력완료,,직거래,,개인,개인,131965351,1
41550,2024,4,3916,1,1,U,20240621040307,4155025025,경기도안성시,공도읍 용두리,UQA123,제3종일반주거,집합,20240520,28.82,,1,,45000,2002,03001,제1종근린생활,2,추가입력완료,,직거래,,개인,개인,131983348,1
41135,2024,4,1555,1,1,,,4113510500,경기도 성남시분당구,서현동,OTHERS,기타,집합,20240220,34.1,,3,전체거래,23000,,03005,제1종근린생활,2,추가입력완료,,중개거래,경기 성남시분당구,개인,개인,80038738,1
41610,2024,4,1619,1,1,,,4161033023,경기도 광주시,도척면 방도리,UQB100,계획관리,일반,20240216,342.96,1004,,전체거래,99023,2022,04005,제2종근린생활,2,추가입력완료,,중개거래,경기 광주시,법인,법인,79988713,1
41310,2024,4,807,1,1,,,4131010100,경기도 구리시,갈매동,UQA130,준주거,집합,20240229,555.45,,1,전체거래,537000,2022,04001,제2종근린생활,2,추가입력완료,,직거래,,법인,법인,79929715,1
41630,2024,4,2073,1,1,,,4163025021,경기도 양주시,백석읍 방성리,UQA420,생산녹지,일반,20240304,396,1984,,전체거래,144900,2020,04005,제2종근린생활,2,추가입력완료,,직거래,,법인,개인,79928713,1
41820,2024,4,624,1,1,,,4182031033,경기도 가평군,설악면 방일리,UQB100,계획관리,집합,20240306,176.07,,,지분거래,17500,2016,15205,숙박,2,추가입력완료,,직거래,,개인,개인,79923717,1
41465,2024,4,2697,1,1,C,20240614040325,4146510600,경기도용인시수지구,성복동,UQA122,제2종일반주거,집합,20240606,98.52,,2,,74000,2006,04001,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,131960353,1
41590,2024,4,17805,1,1,C,20240621040307,4159013700,경기도화성시,송동,UQA130,준주거,집합,20240617,30.54,,4,,23300,2024,14204,업무,2,추가입력완료,,직거래,,개인,개인,134559643,1
41461,2024,4,5151,1,1,C,20240621040307,4146125324,경기도용인시처인구,모현읍 일산리,UQA123,제3종일반주거,집합,20240601,52.02,,2,,12900,2004,04999,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,131960355,1
41830,2024,4,3420,1,1,U,20240624040223,4183034023,경기도양평군,옥천면 신복리,UQB100,계획관리,집합,20240612,45,,38,,1371,1988,15205,숙박,2,추가입력완료,,직거래,,개인,법인,132519411,1
41171,2024,4,837,1,1,,,4117110100,경기도 안양시만안구,안양동,UQA122,제2종일반주거,일반,20240229,48.07,160.3,,전체거래,55500,1972,03999,제1종근린생활,2,추가입력완료,,중개거래,경기 안양시만안구,개인,법인,85439364,1
41173,2024,4,1674,1,1,U,20240423052423,4117310400,경기도안양시동안구,호계동,UQA330,준공업,집합,20240320,45.85,,,,11000,2003,07999,판매,C,계약해제,20240419,중개거래,,개인,개인,92042253,1
41285,2024,4,2778,1,1,U,20240423052423,4128510200,경기도고양시일산동구,중산동,UQA130,준주거,집합,20240323,20,,1,,8500,1997,07999,판매,C,계약해제,20240422,중개거래,,개인,개인,90526961,1
41220,2024,4,7997,1,1,U,20240423052423,4122012600,경기도평택시,청룡동,UQA420,생산녹지,일반,20240320,197.3,1322,,,136000,2021,04005,제2종근린생활,C,계약해제,20240419,중개거래,,법인,법인,88081677,1
41410,2024,4,1809,1,1,C,20240621040307,4141010200,경기도군포시,당정동,UQA320,일반공업,일반,20240611,337.98,202,,,120000,2014,04999,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,133960575,1
41287,2024,4,1926,1,1,C,20240621040307,4128710800,경기도고양시일산서구,법곳동,UQB100,계획관리,일반,20240619,369.26,661,,,115341,2013,04005,제2종근린생활,2,추가입력완료,,중개거래,,개인,법인,133917570,1
41461,2024,4,5060,1,1,U,20240621040307,4146110700,경기도용인시처인구,마평동,UQA430,자연녹지,일반,20240617,101.02,267,,,39500,2022,04402,제2종근린생활,2,추가입력완료,,직거래,,법인,개인,133645518,1
41281,2024,4,2666,1,1,U,20240423052423,4128112300,경기도고양시덕양구,화정동,UQA210,중심상업,집합,20240318,332.98,,9,,76000,,10003,교육연구,2,추가입력완료,,중개거래,,개인,법인,86060419,1
41111,2024,4,2065,1,1,C,20240621040307,4111113000,경기도수원시장안구,정자동,UQA121,제1종일반주거,집합,20240613,54.6,,1,,30500,2004,04001,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,133570548,1
41390,2024,4,5704,1,1,U,20240621040307,4139010600,경기도시흥시,은행동,UQA130,준주거,집합,20240521,103.4,,4,,42120,2021,04999,제2종근린생활,2,추가입력완료,,직거래,,법인,법인,133513548,1
41390,2024,4,5659,1,1,U,20240621040307,4139012000,경기도시흥시,하상동,UQA130,준주거,집합,20240612,27.36,,1,,14000,2002,03999,제1종근린생활,2,추가입력완료,,직거래,,개인,개인,133155508,1
